,Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Sales_Method,Profit_Margin
2700,Kohl's,1197831,12/19/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,47,149,700,266,Outlet,62
2701,Foot Locker,1185732,11/4/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,51,149,760,327,Outlet,56.97
2702,Foot Locker,1185732,1/10/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,23,149,343,144,Outlet,58.02
2703,Sports Direct,1185732,4/14/2021,Northeast,Massachusetts,Boston,Men's Street Footwear,28,149,417,138,Outlet,66.91
2704,Amazon,1185732,8/11/2021,Northeast,Vermont,Burlington,Men's Athletic Footwear,43,149,641,333,Outlet,48.05
2705,Amazon,1185732,7/17/2021,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,47,149,700,308,Outlet,56
2706,Foot Locker,1185732,11/18/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,59,149,879,378,Outlet,57
2707,Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,42,147,617,259,Online,58.02
2708,Sports Direct,1197831,8/16/2021,South,Texas,Dallas,Women's Apparel,33,147,485,267,Online,44.95
2709,Sports Direct,1197831,9/25/2021,South,Texas,Dallas,Women's Athletic Footwear,47,147,691,449,Online,35.02
2710,Kohl's,1189833,1/28/2021,Midwest,Montana,Billings,Men's Athletic Footwear,42,147,617,253,Online,59
2711,Sports Direct,1197831,5/5/2021,South,Tennessee,Knoxville,Women's Street Footwear,36,147,529,307,Online,41.97
2712,Amazon,1185732,12/21/2021,Northeast,Maine,Portland,Men's Street Footwear,50,147,735,338,Online,54.01
2713,Walmart,1128299,8/10/2021,West,Hawaii,Honolulu,Men's Apparel,69,147,1014,274,Online,72.98
2714,Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Women's Street Footwear,53,147,779,319,Online,59.05
2715,West Gear,1128299,12/16/2021,Southeast,Florida,Orlando,Men's Apparel,86,147,1264,442,Online,65.03
2716,West Gear,1185732,4/9/2021,Northeast,New York,Albany,Men's Athletic Footwear,43,147,632,284,Online,55.06
2717,West Gear,1185732,11/9/2021,Northeast,New York,Albany,Women's Street Footwear,45,147,662,238,Online,64.05
2718,Kohl's,1185732,8/11/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,38,147,559,274,Online,50.98
2719,West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,44,147,647,330,Online,49
2720,Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Men's Street Footwear,47,147,691,325,Online,52.97
2721,Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,46,147,676,352,Online,47.93
2722,Kohl's,1128299,2/26/2021,West,Arizona,Phoenix,Men's Street Footwear,33,147,485,238,Online,50.93
2723,Sports Direct,1128299,6/13/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,54,147,794,405,Online,48.99
2724,Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Women's Apparel,38,147,559,352,Online,37.03
2725,West Gear,1185732,12/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,63,147,926,463,Online,50
2726,Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Women's Street Footwear,48,147,706,367,Online,48.02
2727,Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Men's Athletic Footwear,42,147,617,278,Online,54.94
2728,Walmart,1197831,7/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,47,147,691,311,Online,54.99
2729,Sports Direct,1185732,8/9/2021,Midwest,North Dakota,Fargo,Men's Street Footwear,46,147,676,331,Online,51.04
2730,West Gear,1185732,12/5/2021,Midwest,Iowa,Des Moines,Men's Street Footwear,54,147,794,333,Online,58.06
2731,Kohl's,1185732,2/8/2021,Northeast,Delaware,Wilmington,Men's Street Footwear,34,147,500,240,Online,52
2732,Foot Locker,1185732,5/31/2021,West,California,Los Angeles,Men's Street Footwear,36,147,529,238,Outlet,55.01
2733,Sports Direct,1197831,9/29/2021,South,Alabama,Birmingham,Women's Apparel,26,147,382,275,Outlet,28.01
2734,Walmart,1128299,8/17/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,64,147,941,310,Outlet,67.06
2735,Walmart,1128299,11/17/2021,Southeast,Florida,Orlando,Men's Apparel,58,147,853,230,Outlet,73.04
2736,Foot Locker,1128299,4/24/2021,Southeast,Virginia,Richmond,Men's Street Footwear,38,147,559,207,Outlet,62.97
2737,West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Apparel,53,147,779,366,Outlet,53.02
2738,West Gear,1197831,1/5/2021,South,Louisiana,New Orleans,Women's Apparel,23,147,338,169,Outlet,50
2739,Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Men's Apparel,43,147,632,259,Outlet,59.02
2740,Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Women's Street Footwear,41,147,603,229,Outlet,62.02
2741,Kohl's,1128299,1/26/2021,West,Arizona,Phoenix,Men's Athletic Footwear,30,147,441,207,Outlet,53.06
2742,Kohl's,1128299,9/27/2021,West,New Mexico,Albuquerque,Women's Street Footwear,39,147,573,241,Outlet,57.94
2743,Foot Locker,1128299,12/12/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,36,147,529,222,Outlet,58.03
2744,Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Apparel,22,147,323,171,Outlet,47.06
2745,Walmart,1185732,8/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,32,147,470,198,Outlet,57.87
2746,Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Women's Street Footwear,42,146,613,307,Online,49.92
2747,Foot Locker,1185732,5/7/2021,Midwest,Iowa,Des Moines,Men's Street Footwear,57,146,832,350,Online,57.93
2748,Foot Locker,1185732,12/18/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40,145,5800,1740,Outlet,70
2749,West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,62,145,899,566,Online,37.04
2750,Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,49,145,711,469,Online,34.04
2751,Sports Direct,1197831,8/25/2021,South,Texas,Dallas,Women's Street Footwear,28,145,406,191,Online,52.96
2752,Sports Direct,1197831,9/14/2021,South,Texas,Dallas,Men's Apparel,45,145,653,281,Online,56.97
2753,Sports Direct,1197831,10/13/2021,South,Texas,Dallas,Women's Athletic Footwear,59,145,856,530,Online,38.08
2754,Foot Locker,1185732,11/27/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60,145,870,583,Online,32.99
2755,West Gear,1128299,2/12/2020,West,Nevada,Las Vegas,Women's Apparel,78,145,1131,339,Online,70.03
2756,Sports Direct,1197831,4/13/2021,South,Tennessee,Knoxville,Men's Apparel,43,145,624,299,Online,52.08
2757,Foot Locker,1185732,7/2/2021,Midwest,Nebraska,Omaha,Men's Street Footwear,41,145,595,315,Online,47.06
2758,Sports Direct,1197831,9/4/2021,South,Alabama,Birmingham,Men's Apparel,49,145,711,391,Online,45.01
2759,Sports Direct,1197831,10/10/2021,South,Alabama,Birmingham,Men's Apparel,58,145,841,471,Online,44
2760,Sports Direct,1128299,12/9/2021,West,Hawaii,Honolulu,Women's Athletic Footwear,73,145,1059,370,Online,65.06
2761,West Gear,1185732,1/12/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,37,145,537,220,Online,59.03
2762,Kohl's,1185732,1/14/2021,Northeast,New York,Albany,Men's Apparel,49,145,711,320,Online,54.99
2763,Kohl's,1185732,2/12/2021,Northeast,New York,Albany,Men's Athletic Footwear,37,145,537,220,Online,59.03
2764,Kohl's,1185732,2/12/2021,West,Wyoming,Cheyenne,Men's Apparel,47,145,682,279,Online,59.09
2765,Kohl's,1185732,4/11/2021,West,Wyoming,Cheyenne,Women's Street Footwear,28,145,406,187,Online,53.94
2766,Kohl's,1185732,5/10/2021,West,Wyoming,Cheyenne,Women's Street Footwear,39,145,566,277,Online,51.06
2767,Foot Locker,1185732,12/10/2021,West,Wyoming,Cheyenne,Men's Apparel,54,145,783,352,Online,55.04
2768,Sports Direct,1185732,9/15/2021,Midwest,Michigan,Detroit,Women's Street Footwear,34,145,493,207,Online,58.01
2769,Sports Direct,1185732,11/16/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,42,145,609,335,Online,44.99
2770,West Gear,1185732,12/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,28,145,406,199,Online,50.99
2771,West Gear,1128299,5/25/2021,West,Oregon,Portland,Men's Street Footwear,48,145,696,313,Online,55.03
2772,West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Street Footwear,43,145,624,343,Online,45.03
2773,Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Men's Street Footwear,37,145,537,252,Online,53.07
2774,Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,47,145,682,361,Online,47.07
2775,Kohl's,1128299,7/25/2021,West,New Mexico,Albuquerque,Men's Apparel,57,145,827,355,Online,57.07
2776,Sports Direct,1128299,12/25/2021,West,New Mexico,Albuquerque,Women's Athletic Footwear,55,145,798,367,Online,54.01
2777,Sports Direct,1128299,2/13/2021,West,New Mexico,Albuquerque,Men's Street Footwear,29,145,421,223,Online,47.03
2778,Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25,145,363,163,Online,55.1
2779,Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Street Footwear,29,145,421,193,Online,54.16
2780,Foot Locker,1185732,2/6/2021,Midwest,North Dakota,Fargo,Men's Street Footwear,28,145,406,179,Online,55.91
2781,Foot Locker,1185732,7/13/2021,Northeast,Delaware,Wilmington,Women's Apparel,55,145,798,399,Online,50
2782,Foot Locker,1185732,1/24/2021,Northeast,New Hampshire,Manchester,Men's Street Footwear,52,145,754,347,Online,53.98
2783,Sports Direct,1197831,10/7/2021,South,Texas,Dallas,Women's Athletic Footwear,30,145,435,235,Outlet,45.98
2784,West Gear,1128299,1/9/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,35,145,508,157,Outlet,69.09
2785,West Gear,1128299,2/4/2020,West,Nevada,Las Vegas,Women's Athletic Footwear,47,145,682,307,Outlet,54.99
2786,West Gear,1128299,3/16/2020,West,Nevada,Las Vegas,Men's Athletic Footwear,31,145,450,112,Outlet,75.11
2787,Sports Direct,1197831,3/27/2021,South,Tennessee,Knoxville,Women's Apparel,25,145,363,221,Outlet,39.12
2788,West Gear,1128299,11/24/2021,West,Oregon,Portland,Men's Apparel,50,145,725,334,Outlet,53.93
2789,Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Women's Street Footwear,31,145,450,175,Outlet,61.11
2790,Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Men's Apparel,40,145,580,215,Outlet,62.93
2791,Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Women's Apparel,46,145,667,200,Outlet,70.01
2792,Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Women's Street Footwear,34,145,493,182,Outlet,63.08
2793,Kohl's,1128299,9/27/2021,West,New Mexico,Albuquerque,Women's Athletic Footwear,37,145,537,220,Outlet,59.03
2794,Kohl's,1128299,9/27/2021,West,New Mexico,Albuquerque,Men's Apparel,40,145,580,203,Outlet,65
2795,Sports Direct,1128299,5/14/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,40,145,580,226,Outlet,61.03
2796,Sports Direct,1128299,11/13/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,39,145,566,226,Outlet,60.07
2797,Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,15,145,218,102,Outlet,53.21
2798,Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,16,145,232,97,Outlet,58.19
2799,Walmart,1197831,5/19/2021,South,Arkansas,Little Rock,Women's Apparel,33,145,479,225,Outlet,53.03
2800,Amazon,1185732,7/10/2021,Northeast,Vermont,Burlington,Men's Athletic Footwear,42,145,609,305,Outlet,49.92
2801,Amazon,1185732,12/10/2021,Northeast,Vermont,Burlington,Women's Apparel,60,145,870,409,Outlet,52.99
2802,Amazon,1185732,8/18/2021,Northeast,New Hampshire,Manchester,Women's Apparel,46,145,667,247,Outlet,62.97
2803,Foot Locker,1185732,6/12/2021,Midwest,Illinois,Chicago,Men's Street Footwear,47,144,677,372,Online,45.05
2804,Sports Direct,1197831,10/6/2021,South,Texas,Dallas,Women's Street Footwear,41,144,590,307,Online,47.97
2805,West Gear,1128299,4/15/2020,West,Colorado,Denver,Men's Athletic Footwear,59,144,850,425,Online,50
2806,West Gear,1128299,7/5/2020,West,Washington,Seattle,Men's Apparel,77,144,1109,388,Online,65.01
2807,Sports Direct,1197831,9/19/2021,South,Alabama,Birmingham,Men's Athletic Footwear,50,144,720,454,Online,36.94
2808,Sports Direct,1197831,10/2/2021,South,Alabama,Birmingham,Women's Street Footwear,43,144,619,396,Online,36.03
2809,Amazon,1185732,11/5/2021,Northeast,Maine,Portland,Men's Street Footwear,52,144,749,337,Online,55.01
2810,Walmart,1128299,10/17/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,59,144,850,323,Online,62
2811,West Gear,1185732,6/10/2021,Northeast,New York,Albany,Women's Athletic Footwear,49,144,706,289,Online,59.07
2812,West Gear,1185732,11/9/2021,Northeast,New York,Albany,Women's Athletic Footwear,47,144,677,271,Online,59.97
2813,Sports Direct,1185732,8/16/2021,Midwest,Michigan,Detroit,Women's Street Footwear,42,144,605,254,Online,58.02
2814,Foot Locker,1185732,4/18/2021,Midwest,Missouri,St. Louis,Men's Street Footwear,33,144,475,247,Online,48
2815,Foot Locker,1185732,3/5/2021,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27,144,389,163,Online,58.1
2816,Sports Direct,1185732,4/3/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,20,144,288,158,Online,45.14
2817,Sports Direct,1185732,12/16/2021,South,Mississippi,Jackson,Women's Apparel,71,144,1022,624,Online,38.94
2818,Kohl's,1197831,6/14/2021,Midwest,Kansas,Wichita,Men's Street Footwear,37,144,533,266,Online,50.09
2819,Foot Locker,1185732,2/15/2021,Northeast,Maryland,Baltimore,Men's Street Footwear,39,144,562,281,Online,50
2820,Kohl's,1185732,3/6/2021,Northeast,New Jersey,Newark,Men's Street Footwear,32,144,461,212,Online,54.01
2821,West Gear,1128299,2/21/2020,West,Nevada,Las Vegas,Women's Street Footwear,46,144,662,272,Outlet,58.91
2822,Sports Direct,1197831,8/12/2021,South,Alabama,Birmingham,Women's Apparel,27,144,389,222,Outlet,42.93
2823,Sports Direct,1197831,8/15/2021,South,Alabama,Birmingham,Women's Street Footwear,20,144,288,147,Outlet,48.96
2824,Foot Locker,1128299,11/24/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,36,144,518,202,Outlet,61
2825,Foot Locker,1185732,12/17/2021,Northeast,New Hampshire,Manchester,Women's Apparel,61,144,878,351,Outlet,60.02
2826,Foot Locker,1185732,12/9/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,62,143,887,532,Online,40.02
2827,West Gear,1128299,1/20/2020,West,Nevada,Las Vegas,Men's Street Footwear,58,143,829,423,Online,48.97
2828,West Gear,1128299,2/9/2020,West,Nevada,Las Vegas,Women's Street Footwear,61,143,872,462,Online,47.02
2829,West Gear,1128299,4/23/2020,West,Colorado,Denver,Women's Athletic Footwear,61,143,872,454,Online,47.94
2830,West Gear,1128299,4/28/2020,West,Colorado,Denver,Women's Street Footwear,67,143,958,546,Online,43.01
2831,Kohl's,1189833,2/4/2021,Midwest,Montana,Billings,Women's Street Footwear,44,143,629,371,Online,41.02
2832,Kohl's,1189833,2/7/2021,Midwest,Montana,Billings,Women's Apparel,58,143,829,290,Online,65.02
2833,Kohl's,1189833,3/7/2021,Midwest,Montana,Billings,Women's Athletic Footwear,43,143,615,314,Online,48.94
2834,Sports Direct,1197831,9/29/2021,South,Alabama,Birmingham,Women's Apparel,36,143,515,386,Online,25.05
2835,Sports Direct,1197831,10/9/2021,South,Alabama,Birmingham,Women's Athletic Footwear,63,143,901,676,Online,24.97
2836,Amazon,1185732,11/17/2021,Northeast,Maine,Portland,Men's Street Footwear,51,143,729,357,Online,51.03
2837,Foot Locker,1128299,2/10/2021,West,Alaska,Anchorage,Men's Street Footwear,33,143,472,170,Online,63.98
2838,Foot Locker,1128299,5/11/2021,West,Hawaii,Honolulu,Women's Apparel,69,143,987,543,Online,44.98
2839,Walmart,1128299,8/17/2021,Southeast,Florida,Orlando,Women's Athletic Footwear,77,143,1101,462,Online,58.04
2840,Walmart,1128299,8/17/2021,Southeast,Florida,Orlando,Men's Apparel,74,143,1058,328,Online,69
2841,Kohl's,1185732,2/12/2021,Northeast,New York,Albany,Women's Street Footwear,29,143,415,203,Online,51.08
2842,Kohl's,1185732,8/11/2021,West,Wyoming,Cheyenne,Women's Street Footwear,38,143,543,245,Online,54.88
2843,Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Men's Apparel,51,143,729,299,Online,58.98
2844,Foot Locker,1128299,3/23/2021,Southeast,Virginia,Richmond,Men's Street Footwear,38,143,543,255,Online,53.04
2845,Sports Direct,1185732,3/15/2021,Midwest,Michigan,Detroit,Women's Apparel,33,143,472,326,Online,30.93
2846,Sports Direct,1185732,7/15/2021,Midwest,Michigan,Detroit,Men's Apparel,54,143,772,394,Online,48.96
2847,Foot Locker,1185732,12/15/2021,Midwest,Michigan,Detroit,Men's Apparel,55,143,787,409,Online,48.03
2848,Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,38,143,543,250,Online,53.96
2849,West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,14,143,200,94,Online,53
2850,West Gear,1128299,12/23/2021,West,Oregon,Portland,Women's Athletic Footwear,67,143,958,431,Online,55.01
2851,West Gear,1197831,1/5/2021,South,Louisiana,New Orleans,Women's Apparel,34,143,486,292,Online,39.92
2852,West Gear,1197831,6/4/2021,West,Idaho,Boise,Women's Athletic Footwear,48,143,686,405,Online,40.96
2853,Foot Locker,1128299,2/23/2021,West,Idaho,Boise,Men's Street Footwear,29,143,415,207,Online,50.12
2854,Kohl's,1128299,8/26/2021,West,New Mexico,Albuquerque,Women's Athletic Footwear,55,143,787,370,Online,52.99
2855,Kohl's,1128299,9/27/2021,West,New Mexico,Albuquerque,Women's Street Footwear,46,143,658,309,Online,53.04
2856,Sports Direct,1128299,7/12/2021,Southeast,Georgia,Atlanta,Women's Apparel,67,143,958,364,Online,62
2857,Amazon,1185732,2/11/2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33,143,472,236,Online,50
2858,Amazon,1185732,2/11/2021,Midwest,Ohio,Columbus,Women's Apparel,29,143,415,253,Online,39.04
2859,Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Women's Street Footwear,39,143,558,284,Online,49.1
2860,Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Women's Apparel,53,143,758,485,Online,36.02
2861,Foot Locker,1185732,6/18/2021,South,Mississippi,Jackson,Women's Street Footwear,41,143,586,322,Online,45.05
2862,Walmart,1197831,8/20/2021,South,Arkansas,Little Rock,Women's Apparel,50,143,715,372,Online,47.97
2863,West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Street Footwear,24,143,343,172,Online,49.85
2864,Kohl's,1197831,5/12/2021,Midwest,Kansas,Wichita,Men's Street Footwear,36,143,515,232,Online,54.95
2865,West Gear,1185732,9/4/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,33,143,472,193,Online,59.11
2866,West Gear,1185732,4/17/2021,Northeast,West Virginia,Charleston,Men's Street Footwear,27,143,386,197,Online,48.96
2867,Sports Direct,1185732,7/3/2021,Northeast,Connecticut,Hartford,Women's Apparel,56,143,801,384,Online,52.06
2868,Foot Locker,1185732,8/7/2021,Northeast,Rhode Island,Providence,Men's Street Footwear,46,143,658,316,Online,51.98
2869,Sports Direct,1197831,8/19/2021,South,Texas,Dallas,Women's Street Footwear,27,143,386,135,Outlet,65.03
2870,Foot Locker,1185732,12/27/2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,53,143,758,462,Outlet,39.05
2871,Sports Direct,1197831,3/21/2021,South,Tennessee,Knoxville,Women's Apparel,28,143,400,224,Outlet,44
2872,Sports Direct,1197831,4/25/2021,South,Tennessee,Knoxville,Men's Apparel,35,143,501,225,Outlet,55.09
2873,Foot Locker,1128299,11/24/2021,Southeast,Virginia,Richmond,Women's Street Footwear,33,143,472,184,Outlet,61.02
2874,West Gear,1128299,3/23/2021,West,Oregon,Portland,Men's Street Footwear,28,143,400,160,Outlet,60
2875,West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,55,143,787,370,Outlet,52.99
2876,Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,36,143,515,216,Outlet,58.06
2877,Foot Locker,1128299,12/12/2021,Southeast,Georgia,Atlanta,Women's Athletic Footwear,40,143,572,246,Outlet,56.99
2878,Walmart,1185732,7/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,33,143,472,203,Outlet,56.99
2879,Sports Direct,1185732,12/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,41,143,586,276,Outlet,52.9
2880,West Gear,1197831,6/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,40,143,572,240,Outlet,58.04
2881,Sports Direct,1197831,9/26/2021,South,Texas,Dallas,Men's Apparel,53,142,753,361,Online,52.06
2882,Sports Direct,1197831,4/6/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,27,142,383,230,Online,39.95
2883,Foot Locker,1128299,8/10/2021,West,Hawaii,Honolulu,Women's Athletic Footwear,67,142,951,362,Online,61.93
2884,Sports Direct,1128299,12/9/2021,West,Hawaii,Honolulu,Women's Apparel,89,142,1264,632,Online,50
2885,Foot Locker,1128299,6/24/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,72,142,1022,501,Online,50.98
2886,Foot Locker,1128299,10/24/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,51,142,724,355,Online,50.97
2887,Sports Direct,1185732,8/16/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,34,142,483,217,Online,55.07
2888,Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Apparel,42,142,596,388,Online,34.9
2889,West Gear,1128299,10/24/2021,West,Oregon,Portland,Men's Athletic Footwear,50,142,710,327,Online,53.94
2890,West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,48,142,682,354,Online,48.09
2891,Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Women's Apparel,42,142,596,394,Online,33.89
2892,Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Women's Athletic Footwear,59,142,838,545,Online,34.96
2893,Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,142,710,362,Online,49.01
2894,Kohl's,1128299,8/26/2021,West,New Mexico,Albuquerque,Women's Street Footwear,58,142,824,379,Online,54
2895,Sports Direct,1128299,4/13/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,45,142,639,326,Online,48.98
2896,Sports Direct,1128299,6/13/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,52,142,738,354,Online,52.03
2897,Sports Direct,1128299,10/13/2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,47,142,667,347,Online,47.98
2898,Sports Direct,1185732,2/4/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,29,142,412,206,Online,50
2899,Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Women's Street Footwear,49,142,696,376,Online,45.98
2900,West Gear,1185732,12/9/2021,Midwest,Ohio,Columbus,Men's Apparel,68,142,966,473,Online,51.04
2901,Amazon,1185732,6/22/2021,Southeast,Kentucky,Louisville,Men's Street Footwear,36,142,511,256,Online,49.9
2902,Foot Locker,1185732,1/20/2021,Southeast,Kentucky,Louisville,Men's Athletic Footwear,29,142,412,185,Online,55.1
2903,Walmart,1185732,7/16/2021,South,Mississippi,Jackson,Women's Street Footwear,48,142,682,341,Online,50
2904,West Gear,1197831,7/19/2021,South,Oklahoma,Oklahoma City,Women's Apparel,61,142,866,468,Online,45.96
2905,Foot Locker,1185732,9/13/2021,Northeast,Delaware,Wilmington,Men's Street Footwear,50,142,710,348,Online,50.99
2906,Sports Direct,1185732,5/3/2021,Northeast,Connecticut,Hartford,Men's Street Footwear,54,142,767,391,Online,49.02
2907,Amazon,1185732,3/10/2021,Northeast,Vermont,Burlington,Men's Street Footwear,44,142,625,375,Online,40
2908,West Gear,1185732,3/2/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,19,141,268,110,Online,58.96
2909,West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,50,140,700,427,Online,39
2910,Sports Direct,1197831,8/22/2021,South,Texas,Dallas,Women's Apparel,32,140,448,251,Online,43.97
2911,West Gear,1128299,4/30/2020,West,Colorado,Denver,Men's Apparel,74,140,1036,756,Online,27.03
2912,Sports Direct,1197831,5/19/2021,South,Tennessee,Knoxville,Men's Apparel,50,140,700,350,Online,50
2913,Amazon,1185732,10/18/2021,Northeast,Maine,Portland,Men's Street Footwear,38,140,532,261,Online,50.94
2914,Walmart,1128299,11/10/2021,West,Hawaii,Honolulu,Women's Apparel,82,140,1148,597,Online,48
2915,Walmart,1128299,9/18/2021,Southeast,Florida,Orlando,Men's Street Footwear,58,140,812,325,Online,59.98
2916,Kohl's,1185732,4/11/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,39,140,546,246,Online,54.95
2917,Kohl's,1185732,6/12/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,38,140,532,250,Online,53.01
2918,Kohl's,1185732,8/11/2021,West,Wyoming,Cheyenne,Men's Apparel,47,140,658,270,Online,58.97
2919,West Gear,1128299,2/17/2021,West,Oregon,Portland,Men's Street Footwear,33,140,462,245,Online,46.97
2920,Kohl's,1128299,7/25/2021,West,New Mexico,Albuquerque,Women's Apparel,69,140,966,367,Online,62.01
2921,Kohl's,1128299,11/26/2021,West,New Mexico,Albuquerque,Women's Apparel,72,140,1008,393,Online,61.01
2922,Sports Direct,1185732,4/3/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,24,140,336,181,Online,46.13
2923,Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,49,140,686,350,Online,48.98
2924,Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,24,140,336,151,Online,55.06
2925,Foot Locker,1185732,5/16/2021,South,Mississippi,Jackson,Women's Apparel,47,140,658,421,Online,36.02
2926,West Gear,1197831,12/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,54,140,756,355,Online,53.04
2927,Kohl's,1197831,7/12/2021,Midwest,Kansas,Wichita,Women's Apparel,60,140,840,412,Online,50.95
2928,Sports Direct,1185732,12/11/2021,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,58,140,812,374,Online,53.94
2929,West Gear,1185732,2/3/2021,Midwest,Iowa,Des Moines,Men's Street Footwear,29,140,406,166,Online,59.11
2930,West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,32,140,448,233,Online,47.99
2931,Sports Direct,1185732,2/15/2021,Northeast,Rhode Island,Providence,Men's Street Footwear,36,140,504,207,Online,58.93
2932,Kohl's,1189833,3/17/2021,West,California,Los Angeles,Men's Apparel,40,140,560,319,Outlet,43.04
